"Id","CommandLine","ExecutionStatus","StartExecutionTime","EndExecutionTime"
"1","cd ~","Completed","11/14/2023 7:25:28 AM","11/14/2023 7:25:28 AM"
"2","cd .\SYS-320-01","Completed","11/14/2023 7:25:35 AM","11/14/2023 7:25:35 AM"
"3","ls","Completed","11/14/2023 7:25:36 AM","11/14/2023 7:25:36 AM"
"4","mkdir Week11","Completed","11/14/2023 7:25:41 AM","11/14/2023 7:25:41 AM"
"5","cd Week11","Completed","11/14/2023 7:25:43 AM","11/14/2023 7:25:43 AM"
"6","clear","Completed","11/14/2023 7:25:44 AM","11/14/2023 7:25:44 AM"
"7","ls","Completed","11/14/2023 10:54:28 AM","11/14/2023 10:54:28 AM"
"8","rm .\Untitled1.ps1","Completed","11/14/2023 10:54:34 AM","11/14/2023 10:54:34 AM"
"9","clear","Completed","11/14/2023 10:54:36 AM","11/14/2023 10:54:36 AM"
"10",".\incidentresponse.ps1","Completed","11/14/2023 10:54:58 AM","11/14/2023 10:55:35 AM"
"11","C:\Users\champuser\SYS-320-01\Week11\incidentresponse.ps1","Completed","11/14/2023 10:57:34 AM","11/14/2023 10:58:00 AM"
"12","ls","Completed","11/14/2023 11:06:47 AM","11/14/2023 11:06:47 AM"
"13","rm .\checksum.txt","Completed","11/14/2023 11:06:53 AM","11/14/2023 11:06:53 AM"
"14",".\results.zip","Completed","11/14/2023 11:06:58 AM","11/14/2023 11:06:58 AM"
"15","ls","Completed","11/14/2023 11:07:12 AM","11/14/2023 11:07:12 AM"
"16","C:\Users\champuser\SYS-320-01\Week11\incidentresponse.ps1","Completed","11/14/2023 11:07:18 AM","11/14/2023 11:07:26 AM"
"17","ls","Completed","11/14/2023 11:08:29 AM","11/14/2023 11:08:29 AM"
"18","C:\Users\champuser\SYS-320-01\Week11\incidentresponse.ps1","Completed","11/14/2023 11:08:41 AM","11/14/2023 11:08:46 AM"
"19","ls","Completed","11/14/2023 11:08:57 AM","11/14/2023 11:08:57 AM"
"20","C:\Users\champuser\SYS-320-01\Week11\incidentresponse.ps1","Completed","11/14/2023 11:09:00 AM","11/14/2023 11:09:22 AM"
"21","ls","Completed","11/14/2023 11:09:24 AM","11/14/2023 11:09:24 AM"
"22","ls","Completed","11/14/2023 11:11:19 AM","11/14/2023 11:11:19 AM"
"23","nano reflection.txt","Completed","11/14/2023 11:12:01 AM","11/14/2023 11:12:01 AM"
"24","ls","Completed","11/14/2023 11:17:35 AM","11/14/2023 11:17:36 AM"
"25","clear","Completed","11/14/2023 11:20:37 AM","11/14/2023 11:20:37 AM"
