"ProcessName","Path","Id"
"bash","C:\Program Files\Git\usr\bin\bash.exe","1428"
"conhost","C:\Windows\system32\conhost.exe","776"
"conhost","C:\Windows\system32\conhost.exe","3820"
"csrss",,"404"
"csrss",,"516"
"ctfmon","C:\Windows\system32\ctfmon.exe","4556"
"dllhost","C:\Windows\system32\dllhost.exe","2444"
"dllhost","C:\Windows\system32\DllHost.exe","6356"
"dwm","C:\Windows\system32\dwm.exe","1004"
"explorer","C:\Windows\Explorer.EXE","5444"
"fontdrvhost","C:\Windows\system32\fontdrvhost.exe","780"
"fontdrvhost","C:\Windows\system32\fontdrvhost.exe","788"
"git-bash","C:\Program Files\Git\git-bash.exe","3524"
"GoogleCrashHandler","C:\Program Files (x86)\Google\Update\1.3.36.332\GoogleCrashHandler.exe","5552"
"GoogleCrashHandler64","C:\Program Files (x86)\Google\Update\1.3.36.332\GoogleCrashHandler64.exe","5628"
"Idle",,"0"
"lsass","C:\Windows\system32\lsass.exe","652"
"Memory Compression",,"1452"
"mintty","C:\Program Files\Git\usr\bin\mintty.exe","2884"
"msdtc","C:\Windows\System32\msdtc.exe","2924"
"MsMpEng",,"7160"
"MusNotifyIcon","C:\Windows\system32\MusNotifyIcon.exe","4264"
"NisSrv",,"5708"
"powershell_ise","C:\Windows\system32\WindowsPowerShell\v1.0\PowerShell_ISE.exe","3744"
"Registry",,"88"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","4472"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","6076"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","6528"
"SearchUI","C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe","5904"
"SecurityHealthService",,"4232"
"SecurityHealthSystray","C:\Windows\System32\SecurityHealthSystray.exe","6648"
"services",,"644"
"SgrmBroker",,"6584"
"ShellExperienceHost","C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","5800"
"sihost","C:\Windows\system32\sihost.exe","5004"
"smss",,"308"
"spoolsv","C:\Windows\System32\spoolsv.exe","2080"
"svchost","C:\Windows\system32\svchost.exe","68"
"svchost","C:\Windows\system32\svchost.exe","344"
"svchost","C:\Windows\system32\svchost.exe","700"
"svchost",,"736"
"svchost","C:\Windows\system32\svchost.exe","756"
"svchost","C:\Windows\system32\svchost.exe","796"
"svchost","C:\Windows\System32\svchost.exe","888"
"svchost","C:\Windows\system32\svchost.exe","896"
"svchost","C:\Windows\system32\svchost.exe","936"
"svchost","C:\Windows\System32\svchost.exe","1132"
"svchost","C:\Windows\system32\svchost.exe","1188"
"svchost","C:\Windows\system32\svchost.exe","1248"
"svchost","C:\Windows\system32\svchost.exe","1260"
"svchost","C:\Windows\system32\svchost.exe","1280"
"svchost","C:\Windows\System32\svchost.exe","1304"
"svchost","C:\Windows\system32\svchost.exe","1360"
"svchost","C:\Windows\system32\svchost.exe","1476"
"svchost","C:\Windows\system32\svchost.exe","1532"
"svchost","C:\Windows\system32\svchost.exe","1552"
"svchost","C:\Windows\System32\svchost.exe","1644"
"svchost","C:\Windows\System32\svchost.exe","1676"
"svchost","C:\Windows\System32\svchost.exe","1768"
"svchost","C:\Windows\System32\svchost.exe","1832"
"svchost","C:\Windows\system32\svchost.exe","1868"
"svchost","C:\Windows\system32\svchost.exe","1964"
"svchost","C:\Windows\system32\svchost.exe","1972"
"svchost","C:\Windows\System32\svchost.exe","2024"
"svchost","C:\Windows\system32\svchost.exe","2136"
"svchost","C:\Windows\System32\svchost.exe","2164"
"svchost","C:\Windows\System32\svchost.exe","2168"
"svchost","C:\Windows\system32\svchost.exe","2340"
"svchost","C:\Windows\System32\svchost.exe","2352"
"svchost","C:\Windows\system32\svchost.exe","2368"
"svchost","C:\Windows\system32\svchost.exe","2424"
"svchost","C:\Windows\system32\svchost.exe","2496"
"svchost","C:\Windows\System32\svchost.exe","2676"
"svchost","C:\Windows\system32\svchost.exe","3372"
"svchost","C:\Windows\System32\svchost.exe","3896"
"svchost","C:\Windows\system32\svchost.exe","4132"
"svchost","C:\Windows\system32\svchost.exe","4304"
"svchost","C:\Windows\system32\svchost.exe","4552"
"svchost","C:\Windows\system32\svchost.exe","4668"
"svchost","C:\Windows\system32\svchost.exe","5024"
"svchost","C:\Windows\system32\svchost.exe","5068"
"svchost","C:\Windows\System32\svchost.exe","5284"
"svchost","C:\Windows\system32\svchost.exe","5412"
"svchost","C:\Windows\system32\svchost.exe","5584"
"svchost","C:\Windows\system32\svchost.exe","6112"
"System",,"4"
"taskhostw","C:\Windows\system32\taskhostw.exe","4484"
"VGAuthService","C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe","2448"
"vm3dservice","C:\Windows\system32\vm3dservice.exe","2460"
"vm3dservice","C:\Windows\system32\vm3dservice.exe","2624"
"vmtoolsd","C:\Program Files\VMware\VMware Tools\vmtoolsd.exe","2468"
"vmtoolsd","C:\Program Files\VMware\VMware Tools\vmtoolsd.exe","6836"
"WindowsInternal.ComposableShell.Experiences.TextInput.InputApp","C:\Windows\SystemApps\InputApp_cw5n1h2txyewy\WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe","3396"
"wininit",,"508"
"winlogon","C:\Windows\system32\winlogon.exe","576"
"WmiPrvSE","C:\Windows\system32\wbem\wmiprvse.exe","3276"
