"DisplayName","PathName"
"AllJoyn Router Service","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Application Layer Gateway Service","C:\Windows\System32\alg.exe"
"Application Identity","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Application Information","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Application Management","C:\Windows\system32\svchost.exe -k netsvcs -p"
"App Readiness","C:\Windows\System32\svchost.exe -k AppReadiness -p"
"Microsoft App-V Client","C:\Windows\system32\AppVClient.exe"
"AppX Deployment Service (AppXSVC)","C:\Windows\system32\svchost.exe -k wsappx -p"
"AssignedAccessManager Service","C:\Windows\system32\svchost.exe -k AssignedAccessManagerSvc"
"Windows Audio Endpoint Builder","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Windows Audio","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"ActiveX Installer (AxInstSV)","C:\Windows\system32\svchost.exe -k AxInstSVGroup"
"BitLocker Drive Encryption Service","C:\Windows\System32\svchost.exe -k netsvcs -p"
"Base Filtering Engine","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p"
"Background Intelligent Transfer Service","C:\Windows\System32\svchost.exe -k netsvcs -p"
"Background Tasks Infrastructure Service","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"Bluetooth Audio Gateway Service","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted"
"AVCTP service","C:\Windows\system32\svchost.exe -k LocalService -p"
"Bluetooth Support Service","C:\Windows\system32\svchost.exe -k LocalService -p"
"Capability Access Manager Service","C:\Windows\system32\svchost.exe -k appmodel -p"
"Connected Devices Platform Service","C:\Windows\system32\svchost.exe -k LocalService -p"
"Certificate Propagation","C:\Windows\system32\svchost.exe -k netsvcs"
"Client License Service (ClipSVC)","C:\Windows\System32\svchost.exe -k wsappx -p"
"COM+ System Application","C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}"
"CoreMessaging","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p"
"Cryptographic Services","C:\Windows\system32\svchost.exe -k NetworkService -p"
"Offline Files","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DCOM Server Process Launcher","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"Optimize drives","C:\Windows\system32\svchost.exe -k defragsvc"
"Device Association Service","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Device Install Service","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"DevQuery Background Discovery Broker","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DHCP Client","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Microsoft (R) Diagnostics Hub Standard Collector Service","C:\Windows\system32\DiagSvcs\DiagnosticsHub.StandardCollector.Service.exe"
"Diagnostic Execution Service","C:\Windows\System32\svchost.exe -k diagnostics"
"Connected User Experiences and Telemetry","C:\Windows\System32\svchost.exe -k utcsvc -p"
"Display Enhancement Service","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Device Management Enrollment Service","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Device Management Wireless Application Protocol (WAP) Push message Routing Service","C:\Windows\system32\svchost.exe -k netsvcs -p"
"DNS Client","C:\Windows\system32\svchost.exe -k NetworkService -p"
"Delivery Optimization","C:\Windows\System32\svchost.exe -k NetworkService -p"
"Wired AutoConfig","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Diagnostic Policy Service","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p"
"Device Setup Manager","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Data Sharing Service","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Data Usage","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Extensible Authentication Protocol","C:\Windows\System32\svchost.exe -k netsvcs -p"
"Encrypting File System (EFS)","C:\Windows\System32\lsass.exe"
"Embedded Mode","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Enterprise App Management Service","C:\Windows\system32\svchost.exe -k appmodel -p"
"Windows Event Log","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"COM+ Event System","C:\Windows\system32\svchost.exe -k LocalService -p"
"Fax","C:\Windows\system32\fxssvc.exe"
"Function Discovery Provider Host","C:\Windows\system32\svchost.exe -k LocalService -p"
"Function Discovery Resource Publication","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"File History Service","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Windows Font Cache Service","C:\Windows\system32\svchost.exe -k LocalService -p"
"Windows Camera Frame Server","C:\Windows\System32\svchost.exe -k Camera"
"Google Chrome Elevation Service (GoogleChromeElevationService)","""C:\Program Files\Google\Chrome\Application\119.0.6045.124\elevation_service.exe"""
