"Name","ID","DisplayName","Group","Enabled","Profile","Platform","Direction","Action","EdgeTraversalPolicy","LSM","PrimaryStatus","Status","EnforcementStatus","PolicyStoreSourceType","Caption","Description","ElementName","InstanceID","CommonName","PolicyKeywords","PolicyDecisionStrategy","PolicyRoles","ConditionListType","CreationClassName","ExecutionStrategy","Mandatory","PolicyRuleName","Priority","RuleUsage","SequencedActions","SystemCreationClassName","SystemName","DisplayGroup","LocalOnlyMapping","LooseSourceMapping","Owner","Platforms","PolicyStoreSource","Profiles","RuleGroup","StatusCode","PSComputerName"
"vm-monitoring-dcom","vm-monitoring-dcom","Virtual Machine Monitoring (DCOM-In)","@icsvc.dll,-700","False","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Allow DCOM traffic for remote Windows Management Instrumentation.","@icsvc.dll,-709","vm-monitoring-dcom",,,"2",,"3","MSFT|FW|FirewallRule|vm-monitoring-dcom","2",,"",,,"3","","","Virtual Machine Monitoring","False","False",,"System.String[]","PersistentStore","0","@icsvc.dll,-700","65536",
"vm-monitoring-icmpv4","vm-monitoring-icmpv4","Virtual Machine Monitoring (Echo Request - ICMPv4-In)","@icsvc.dll,-700","False","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Echo Request messages are sent as ping requests to other nodes.","@icsvc.dll,-701","vm-monitoring-icmpv4",,,"2",,"3","MSFT|FW|FirewallRule|vm-monitoring-icmpv4","2",,"",,,"3","","","Virtual Machine Monitoring","False","False",,"System.String[]","PersistentStore","0","@icsvc.dll,-700","65536",
"vm-monitoring-icmpv6","vm-monitoring-icmpv6","Virtual Machine Monitoring (Echo Request - ICMPv6-In)","@icsvc.dll,-700","False","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Echo Request messages are sent as ping requests to other nodes.","@icsvc.dll,-703","vm-monitoring-icmpv6",,,"2",,"3","MSFT|FW|FirewallRule|vm-monitoring-icmpv6","2",,"",,,"3","","","Virtual Machine Monitoring","False","False",,"System.String[]","PersistentStore","0","@icsvc.dll,-700","65536",
"vm-monitoring-nb-session","vm-monitoring-nb-session","Virtual Machine Monitoring (NB-Session-In)","@icsvc.dll,-700","False","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Allow NetBIOS Session Service connections.","@icsvc.dll,-705","vm-monitoring-nb-session",,,"2",,"3","MSFT|FW|FirewallRule|vm-monitoring-nb-session","2",,"",,,"3","","","Virtual Machine Monitoring","False","False",,"System.String[]","PersistentStore","0","@icsvc.dll,-700","65536",
"vm-monitoring-rpc","vm-monitoring-rpc","Virtual Machine Monitoring (RPC)","@icsvc.dll,-700","False","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Allow Task Scheduler service to be remotely managed via RPC/TCP.","@icsvc.dll,-707","vm-monitoring-rpc",,,"2",,"3","MSFT|FW|FirewallRule|vm-monitoring-rpc","2",,"",,,"3","","","Virtual Machine Monitoring","False","False",,"System.String[]","PersistentStore","0","@icsvc.dll,-700","65536",
"SNMPTRAP-In-UDP","SNMPTRAP-In-UDP","SNMP Trap Service (UDP In)","@firewallapi.dll,-50323","False","Private, Public","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for the SNMP Trap Service to allow SNMP traps. [UDP 162]","@firewallapi.dll,-50327","SNMPTRAP-In-UDP",,,"2",,"3","MSFT|FW|FirewallRule|SNMPTRAP-In-UDP","2",,"",,,"3","","","SNMP Trap","False","False",,"System.String[]","PersistentStore","6","@firewallapi.dll,-50323","65536",
"SNMPTRAP-In-UDP-NoScope","SNMPTRAP-In-UDP-NoScope","SNMP Trap Service (UDP In)","@firewallapi.dll,-50323","False","Domain","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for the SNMP Trap Service to allow SNMP traps. [UDP 162]","@firewallapi.dll,-50327","SNMPTRAP-In-UDP-NoScope",,,"2",,"3","MSFT|FW|FirewallRule|SNMPTRAP-In-UDP-NoScope","2",,"",,,"3","","","SNMP Trap","False","False",,"System.String[]","PersistentStore","1","@firewallapi.dll,-50323","65536",
"WiFiDirect-KM-Driver-In-TCP","WiFiDirect-KM-Driver-In-TCP","WFD Driver-only (TCP-In)","@wlansvc.dll,-36865","True","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for drivers to communicate over WFD (TCP-In)","@wlansvc.dll,-37378","WiFiDirect-KM-Driver-In-TCP",,,"2",,"3","MSFT|FW|FirewallRule|WiFiDirect-KM-Driver-In-TCP","2",,"",,,"3","","","WLAN Service - WFD Services Kernel Mode Driver Rules","False","False",,"System.String[]","PersistentStore","0","@wlansvc.dll,-36865","65536",
"WiFiDirect-KM-Driver-Out-TCP","WiFiDirect-KM-Driver-Out-TCP","WFD Driver-only (TCP-Out)","@wlansvc.dll,-36865","True","Any","System.String[]","Outbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for drivers to communicate over WFD (TCP-Out)","@wlansvc.dll,-37379","WiFiDirect-KM-Driver-Out-TCP",,,"2",,"3","MSFT|FW|FirewallRule|WiFiDirect-KM-Driver-Out-TCP","2",,"",,,"3","","","WLAN Service - WFD Services Kernel Mode Driver Rules","False","False",,"System.String[]","PersistentStore","0","@wlansvc.dll,-36865","65536",
"WiFiDirect-KM-Driver-In-UDP","WiFiDirect-KM-Driver-In-UDP","WFD Driver-only (UDP-In)","@wlansvc.dll,-36865","True","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for drivers to communicate over WFD (UDP-In)","@wlansvc.dll,-37380","WiFiDirect-KM-Driver-In-UDP",,,"2",,"3","MSFT|FW|FirewallRule|WiFiDirect-KM-Driver-In-UDP","2",,"",,,"3","","","WLAN Service - WFD Services Kernel Mode Driver Rules","False","False",,"System.String[]","PersistentStore","0","@wlansvc.dll,-36865","65536",
"WiFiDirect-KM-Driver-Out-UDP","WiFiDirect-KM-Driver-Out-UDP","WFD Driver-only (UDP-Out)","@wlansvc.dll,-36865","True","Any","System.String[]","Outbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for drivers to communicate over WFD (UDP-Out)","@wlansvc.dll,-37381","WiFiDirect-KM-Driver-Out-UDP",,,"2",,"3","MSFT|FW|FirewallRule|WiFiDirect-KM-Driver-Out-UDP","2",,"",,,"3","","","WLAN Service - WFD Services Kernel Mode Driver Rules","False","False",,"System.String[]","PersistentStore","0","@wlansvc.dll,-36865","65536",
"Microsoft-Windows-Unified-Telemetry-Client","Microsoft-Windows-Unified-Telemetry-Client","Connected User Experiences and Telemetry","DiagTrack","True","Any","System.String[]","Outbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Unified Telemetry Client Outbound Traffic","@%windir%\system32\diagtrack.dll,-3001","Microsoft-Windows-Unified-Telemetry-Client",,,"2",,"3","MSFT|FW|FirewallRule|Microsoft-Windows-Unified-Telemetry-Client","2",,"",,,"3","","","DiagTrack","False","False",,"System.String[]","PersistentStore","0","DiagTrack","65536",
"DeliveryOptimization-TCP-In","DeliveryOptimization-TCP-In","Delivery Optimization (TCP-In)","@%systemroot%\system32\dosvc.dll,-100","True","Any","System.String[]","Inbound","Allow","Allow","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule to allow Delivery Optimization to connect to remote endpoints","@%systemroot%\system32\dosvc.dll,-102","DeliveryOptimization-TCP-In",,,"2",,"3","MSFT|FW|FirewallRule|DeliveryOptimization-TCP-In","2",,"",,,"3","","","Delivery Optimization","False","False",,"System.String[]","PersistentStore","0","@%systemroot%\system32\dosvc.dll,-100","65536",
"DeliveryOptimization-UDP-In","DeliveryOptimization-UDP-In","Delivery Optimization (UDP-In)","@%systemroot%\system32\dosvc.dll,-100","True","Any","System.String[]","Inbound","Allow","Allow","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule to allow Delivery Optimization to connect to remote endpoints","@%systemroot%\system32\dosvc.dll,-103","DeliveryOptimization-UDP-In",,,"2",,"3","MSFT|FW|FirewallRule|DeliveryOptimization-UDP-In","2",,"",,,"3","","","Delivery Optimization","False","False",,"System.String[]","PersistentStore","0","@%systemroot%\system32\dosvc.dll,-100","65536",
"PNRPMNRS-PNRP-In-UDP","PNRPMNRS-PNRP-In-UDP","Windows Collaboration Computer Name Registration Service (PNRP-In)","@FirewallAPI.dll,-34002","False","Any","System.String[]","Inbound","Allow","DeferToApp","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for the Windows Collaboration Computer Name Registration Service to allow Peer Name Resolution. [UDP 3540]","@FirewallAPI.dll,-34003","PNRPMNRS-PNRP-In-UDP",,,"2",,"3","MSFT|FW|FirewallRule|PNRPMNRS-PNRP-In-UDP","2",,"",,,"3","","","Windows Collaboration Computer Name Registration Service","False","False",,"System.String[]","PersistentStore","0","@FirewallAPI.dll,-34002","65536",
"PNRPMNRS-PNRP-Out-UDP","PNRPMNRS-PNRP-Out-UDP","Windows Collaboration Computer Name Registration Service (PNRP-Out)","@FirewallAPI.dll,-34002","False","Any","System.String[]","Outbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Outbound rule for the Windows Collaboration Computer Name Registration Service to allow Peer Name Resolution. [UDP 3540]","@FirewallAPI.dll,-34005","PNRPMNRS-PNRP-Out-UDP",,,"2",,"3","MSFT|FW|FirewallRule|PNRPMNRS-PNRP-Out-UDP","2",,"",,,"3","","","Windows Collaboration Computer Name Registration Service","False","False",,"System.String[]","PersistentStore","0","@FirewallAPI.dll,-34002","65536",
"PNRPMNRS-SSDPSrv-In-UDP","PNRPMNRS-SSDPSrv-In-UDP","Windows Collaboration Computer Name Registration Service (SSDP-In)","@FirewallAPI.dll,-34002","False","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for the Windows Collaboration Computer Name Registration Service to allow use of the Simple Service Discovery Protocol. [UDP 1900]","@FirewallAPI.dll,-34007","PNRPMNRS-SSDPSrv-In-UDP",,,"2",,"3","MSFT|FW|FirewallRule|PNRPMNRS-SSDPSrv-In-UDP","2",,"",,,"3","","","Windows Collaboration Computer Name Registration Service","False","False",,"System.String[]","PersistentStore","0","@FirewallAPI.dll,-34002","65536",
"PNRPMNRS-SSDPSrv-Out-UDP","PNRPMNRS-SSDPSrv-Out-UDP","Windows Collaboration Computer Name Registration Service (SSDP-Out)","@FirewallAPI.dll,-34002","False","Any","System.String[]","Outbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Outbound rule for the Windows Collaboration Computer Name Registration Service to allow use of the Simple Service Discovery Protocol. [UDP 1900]","@FirewallAPI.dll,-34009","PNRPMNRS-SSDPSrv-Out-UDP",,,"2",,"3","MSFT|FW|FirewallRule|PNRPMNRS-SSDPSrv-Out-UDP","2",,"",,,"3","","","Windows Collaboration Computer Name Registration Service","False","False",,"System.String[]","PersistentStore","0","@FirewallAPI.dll,-34002","65536",
"EventForwarder-In-TCP","EventForwarder-In-TCP","Remote Event Monitor (RPC)","@FirewallAPI.dll,-36801","False","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for remote event monitoring via RPC/TCP.","@FirewallAPI.dll,-36802","EventForwarder-In-TCP",,,"2",,"3","MSFT|FW|FirewallRule|EventForwarder-In-TCP","2",,"",,,"3","","","Remote Event Monitor","False","False",,"System.String[]","PersistentStore","0","@FirewallAPI.dll,-36801","65536",
"EventForwarder-RPCSS-In-TCP","EventForwarder-RPCSS-In-TCP","Remote Event Monitor (RPC-EPMAP)","@FirewallAPI.dll,-36801","False","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for the RPCSS service to allow RPC/TCP traffic for remote event monitoring.","@FirewallAPI.dll,-36804","EventForwarder-RPCSS-In-TCP",,,"2",,"3","MSFT|FW|FirewallRule|EventForwarder-RPCSS-In-TCP","2",,"",,,"3","","","Remote Event Monitor","False","False",,"System.String[]","PersistentStore","0","@FirewallAPI.dll,-36801","65536",
"RemoteFwAdmin-In-TCP-NoScope","RemoteFwAdmin-In-TCP-NoScope","Windows Defender Firewall Remote Management (RPC)","@FirewallAPI.dll,-30002","False","Domain","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for the Windows Defender Firewall to be remotely managed via RPC/TCP.","@FirewallAPI.dll,-30003","RemoteFwAdmin-In-TCP-NoScope",,,"2",,"3","MSFT|FW|FirewallRule|RemoteFwAdmin-In-TCP-NoScope","2",,"",,,"3","","","Windows Defender Firewall Remote Management","False","False",,"System.String[]","PersistentStore","1","@FirewallAPI.dll,-30002","65536",
"RemoteFwAdmin-RPCSS-In-TCP-NoScope","RemoteFwAdmin-RPCSS-In-TCP-NoScope","Windows Defender Firewall Remote Management (RPC-EPMAP)","@FirewallAPI.dll,-30002","False","Domain","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for the RPCSS service to allow RPC/TCP traffic for the Windows Defender Firewall.","@FirewallAPI.dll,-30007","RemoteFwAdmin-RPCSS-In-TCP-NoScope",,,"2",,"3","MSFT|FW|FirewallRule|RemoteFwAdmin-RPCSS-In-TCP-NoScope","2",,"",,,"3","","","Windows Defender Firewall Remote Management","False","False",,"System.String[]","PersistentStore","1","@FirewallAPI.dll,-30002","65536",
"RemoteFwAdmin-In-TCP","RemoteFwAdmin-In-TCP","Windows Defender Firewall Remote Management (RPC)","@FirewallAPI.dll,-30002","False","Private, Public","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for the Windows Defender Firewall to be remotely managed via RPC/TCP.","@FirewallAPI.dll,-30003","RemoteFwAdmin-In-TCP",,,"2",,"3","MSFT|FW|FirewallRule|RemoteFwAdmin-In-TCP","2",,"",,,"3","","","Windows Defender Firewall Remote Management","False","False",,"System.String[]","PersistentStore","6","@FirewallAPI.dll,-30002","65536",
"RemoteFwAdmin-RPCSS-In-TCP","RemoteFwAdmin-RPCSS-In-TCP","Windows Defender Firewall Remote Management (RPC-EPMAP)","@FirewallAPI.dll,-30002","False","Private, Public","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for the RPCSS service to allow RPC/TCP traffic for the Windows Defender Firewall.","@FirewallAPI.dll,-30007","RemoteFwAdmin-RPCSS-In-TCP",,,"2",,"3","MSFT|FW|FirewallRule|RemoteFwAdmin-RPCSS-In-TCP","2",,"",,,"3","","","Windows Defender Firewall Remote Management","False","False",,"System.String[]","PersistentStore","6","@FirewallAPI.dll,-30002","65536",
"AllJoyn-Router-In-TCP","AllJoyn-Router-In-TCP","AllJoyn Router (TCP-In)","@FirewallAPI.dll,-37002","True","Domain, Private","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for AllJoyn Router traffic [TCP]","@FirewallAPI.dll,-37003","AllJoyn-Router-In-TCP",,,"2",,"3","MSFT|FW|FirewallRule|AllJoyn-Router-In-TCP","2",,"",,,"3","","","AllJoyn Router","False","False",,"System.String[]","PersistentStore","3","@FirewallAPI.dll,-37002","65536",
"AllJoyn-Router-Out-TCP","AllJoyn-Router-Out-TCP","AllJoyn Router (TCP-Out)","@FirewallAPI.dll,-37002","True","Domain, Private","System.String[]","Outbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Outbound rule for AllJoyn Router traffic [TCP]","@FirewallAPI.dll,-37005","AllJoyn-Router-Out-TCP",,,"2",,"3","MSFT|FW|FirewallRule|AllJoyn-Router-Out-TCP","2",,"",,,"3","","","AllJoyn Router","False","False",,"System.String[]","PersistentStore","3","@FirewallAPI.dll,-37002","65536",
"AllJoyn-Router-In-UDP","AllJoyn-Router-In-UDP","AllJoyn Router (UDP-In)","@FirewallAPI.dll,-37002","True","Domain, Private","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for AllJoyn Router traffic [UDP]","@FirewallAPI.dll,-37007","AllJoyn-Router-In-UDP",,,"2",,"3","MSFT|FW|FirewallRule|AllJoyn-Router-In-UDP","2",,"",,,"3","","","AllJoyn Router","False","False",,"System.String[]","PersistentStore","3","@FirewallAPI.dll,-37002","65536",
"AllJoyn-Router-Out-UDP","AllJoyn-Router-Out-UDP","AllJoyn Router (UDP-Out)","@FirewallAPI.dll,-37002","True","Domain, Private","System.String[]","Outbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Outbound rule for AllJoyn Router traffic [UDP]","@FirewallAPI.dll,-37009","AllJoyn-Router-Out-UDP",,,"2",,"3","MSFT|FW|FirewallRule|AllJoyn-Router-Out-UDP","2",,"",,,"3","","","AllJoyn Router","False","False",,"System.String[]","PersistentStore","3","@FirewallAPI.dll,-37002","65536",
"Netlogon-NamedPipe-In","Netlogon-NamedPipe-In","Netlogon Service (NP-In)","@netlogon.dll,-1010","False","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for the NetLogon service to be remotely managed over Named Pipes.","@netlogon.dll,-1003","Netlogon-NamedPipe-In",,,"2",,"3","MSFT|FW|FirewallRule|Netlogon-NamedPipe-In","2",,"",,,"3","","","Netlogon Service","False","False",,"System.String[]","PersistentStore","0","@netlogon.dll,-1010","65536",
"Netlogon-TCP-RPC-In","Netlogon-TCP-RPC-In","Netlogon Service Authz (RPC)","@netlogon.dll,-1010","False","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for the NetLogon service to process remote authz requests via RPC/TCP.","@netlogon.dll,-1008","Netlogon-TCP-RPC-In",,,"2",,"3","MSFT|FW|FirewallRule|Netlogon-TCP-RPC-In","2",,"",,,"3","","","Netlogon Service","False","False",,"System.String[]","PersistentStore","0","@netlogon.dll,-1010","65536",
"WirelessDisplay-In-TCP","WirelessDisplay-In-TCP","Wireless Display (TCP-In)","@wifidisplay.dll,-100","True","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for Wireless Display [TCP]","@wifidisplay.dll,-10200","WirelessDisplay-In-TCP",,,"2",,"3","MSFT|FW|FirewallRule|WirelessDisplay-In-TCP","2",,"",,,"3","","","Wireless Display","False","False",,"System.String[]","PersistentStore","0","@wifidisplay.dll,-100","65536",
