"State","AppliedSetting","OffloadState","Caption","Description","ElementName","InstanceID","CommunicationStatus","DetailedStatus","HealthState","InstallDate","Name","OperatingStatus","OperationalStatus","PrimaryStatus","Status","StatusDescriptions","AvailableRequestedStates","EnabledDefault","EnabledState","OtherEnabledState","RequestedState","TimeOfLastStateChange","TransitioningToState","AggregationBehavior","Directionality","CreationTime","LocalAddress","LocalPort","OwningProcess","RemoteAddress","RemotePort","PSComputerName"
"Listen",,"InHost",,,,"::++49675++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/24/2023 11:26:23 AM","::","49675","652","::","0",
"Listen",,"InHost",,,,"::++49668++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/24/2023 11:26:16 AM","::","49668","644","::","0",
"Listen",,"InHost",,,,"::++49667++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/24/2023 11:26:14 AM","::","49667","2056","::","0",
"Listen",,"InHost",,,,"::++49666++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/24/2023 11:26:14 AM","::","49666","1556","::","0",
"Listen",,"InHost",,,,"::++49665++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/24/2023 11:26:14 AM","::","49665","1120","::","0",
"Listen",,"InHost",,,,"::++49664++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/24/2023 11:26:13 AM","::","49664","508","::","0",
"Listen",,"InHost",,,,"::++445++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/24/2023 11:26:16 AM","::","445","4","::","0",
"Listen",,"InHost",,,,"::++135++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/24/2023 11:26:13 AM","::","135","900","::","0",
"Bound",,"InHost",,,,"0.0.0.0++49696++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/24/2023 11:27:30 AM","0.0.0.0","49696","2536","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++49680++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/24/2023 11:26:30 AM","0.0.0.0","49680","2536","0.0.0.0","0",
"Established","Internet","InHost",,,,"10.0.0.162++49696++20.25.241.18++443",,,,,,,,,,,,"2",,,"5",,"12",,,"11/24/2023 11:27:30 AM","10.0.0.162","49696","2536","20.25.241.18","443",
"Established","Internet","InHost",,,,"10.0.0.162++49680++20.25.241.18++443",,,,,,,,,,,,"2",,,"5",,"12",,,"11/24/2023 11:26:30 AM","10.0.0.162","49680","2536","20.25.241.18","443",
"Listen",,"InHost",,,,"0.0.0.0++49675++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/24/2023 11:26:23 AM","0.0.0.0","49675","652","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49668++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/24/2023 11:26:16 AM","0.0.0.0","49668","644","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49667++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/24/2023 11:26:14 AM","0.0.0.0","49667","2056","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49666++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/24/2023 11:26:14 AM","0.0.0.0","49666","1556","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49665++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/24/2023 11:26:14 AM","0.0.0.0","49665","1120","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49664++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/24/2023 11:26:13 AM","0.0.0.0","49664","508","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++5040++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/24/2023 11:26:25 AM","0.0.0.0","5040","4348","0.0.0.0","0",
"Listen",,"InHost",,,,"10.0.0.162++139++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/24/2023 11:26:21 AM","10.0.0.162","139","4","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++135++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/24/2023 11:26:13 AM","0.0.0.0","135","900","0.0.0.0","0",
