"ProcessName","Path","Id"
"csrss",,"404"
"csrss",,"516"
"ctfmon","C:\Windows\system32\ctfmon.exe","4364"
"dllhost","C:\Windows\system32\dllhost.exe","2300"
"dllhost","C:\Windows\system32\DllHost.exe","2944"
"dwm","C:\Windows\system32\dwm.exe","1020"
"explorer","C:\Windows\Explorer.EXE","4820"
"fontdrvhost","C:\Windows\system32\fontdrvhost.exe","788"
"fontdrvhost","C:\Windows\system32\fontdrvhost.exe","796"
"GoogleCrashHandler","C:\Program Files (x86)\Google\Update\1.3.36.312\GoogleCrashHandler.exe","5884"
"GoogleCrashHandler64","C:\Program Files (x86)\Google\Update\1.3.36.312\GoogleCrashHandler64.exe","5900"
"Idle",,"0"
"lsass","C:\Windows\system32\lsass.exe","652"
"Memory Compression",,"1488"
"msdtc","C:\Windows\System32\msdtc.exe","3212"
"MsMpEng",,"2164"
"NisSrv",,"1268"
"powershell_ise","C:\Windows\system32\WindowsPowerShell\v1.0\PowerShell_ISE.exe","3644"
"Registry",,"88"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","4244"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","5572"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","5664"
"SearchUI","C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe","5272"
"SecurityHealthService",,"3636"
"SecurityHealthSystray","C:\Windows\System32\SecurityHealthSystray.exe","6028"
"services",,"644"
"SgrmBroker",,"2552"
"ShellExperienceHost","C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","5156"
"sihost","C:\Windows\system32\sihost.exe","4860"
"smss",,"304"
"spoolsv","C:\Windows\System32\spoolsv.exe","2120"
"svchost","C:\Windows\system32\svchost.exe","500"
"svchost","C:\Windows\system32\svchost.exe","712"
"svchost","C:\Windows\system32\svchost.exe","764"
"svchost","C:\Windows\system32\svchost.exe","804"
"svchost","C:\Windows\system32\svchost.exe","904"
"svchost","C:\Windows\system32\svchost.exe","948"
"svchost","C:\Windows\System32\svchost.exe","968"
"svchost","C:\Windows\System32\svchost.exe","1148"
"svchost","C:\Windows\system32\svchost.exe","1244"
"svchost","C:\Windows\system32\svchost.exe","1252"
"svchost","C:\Windows\system32\svchost.exe","1292"
"svchost","C:\Windows\system32\svchost.exe","1324"
"svchost","C:\Windows\system32\svchost.exe","1348"
"svchost","C:\Windows\System32\svchost.exe","1360"
"svchost","C:\Windows\system32\svchost.exe","1420"
"svchost","C:\Windows\system32\svchost.exe","1564"
"svchost","C:\Windows\system32\svchost.exe","1584"
"svchost","C:\Windows\System32\svchost.exe","1596"
"svchost","C:\Windows\System32\svchost.exe","1676"
"svchost","C:\Windows\System32\svchost.exe","1684"
"svchost","C:\Windows\System32\svchost.exe","1796"
"svchost","C:\Windows\System32\svchost.exe","1820"
"svchost","C:\Windows\System32\svchost.exe","1852"
"svchost","C:\Windows\system32\svchost.exe","1888"
"svchost","C:\Windows\system32\svchost.exe","1980"
"svchost","C:\Windows\system32\svchost.exe","1988"
"svchost","C:\Windows\system32\svchost.exe","2172"
"svchost","C:\Windows\System32\svchost.exe","2220"
"svchost","C:\Windows\system32\svchost.exe","2372"
"svchost","C:\Windows\System32\svchost.exe","2380"
"svchost","C:\Windows\system32\svchost.exe","2392"
"svchost","C:\Windows\system32\svchost.exe","2512"
"svchost","C:\Windows\system32\svchost.exe","2520"
"svchost","C:\Windows\System32\svchost.exe","2608"
"svchost","C:\Windows\System32\svchost.exe","2936"
"svchost","C:\Windows\system32\svchost.exe","2984"
"svchost",,"3224"
"svchost","C:\Windows\system32\svchost.exe","3340"
"svchost","C:\Windows\system32\svchost.exe","3804"
"svchost","C:\Windows\system32\svchost.exe","3944"
"svchost","C:\Windows\system32\svchost.exe","4028"
"svchost","C:\Windows\System32\svchost.exe","4164"
"svchost","C:\Windows\system32\svchost.exe","4280"
"svchost","C:\Windows\system32\svchost.exe","4468"
"svchost","C:\Windows\system32\svchost.exe","4880"
"svchost","C:\Windows\system32\svchost.exe","4920"
"svchost","C:\Windows\system32\svchost.exe","5008"
"System",,"4"
"taskhostw","C:\Windows\system32\taskhostw.exe","5068"
"VGAuthService","C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe","2496"
"vm3dservice","C:\Windows\system32\vm3dservice.exe","2476"
"vm3dservice","C:\Windows\system32\vm3dservice.exe","2644"
"vmtoolsd","C:\Program Files\VMware\VMware Tools\vmtoolsd.exe","2504"
"vmtoolsd","C:\Program Files\VMware\VMware Tools\vmtoolsd.exe","3576"
"WindowsInternal.ComposableShell.Experiences.TextInput.InputApp","C:\Windows\SystemApps\InputApp_cw5n1h2txyewy\WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe","1224"
"wininit",,"508"
"winlogon","C:\Windows\system32\winlogon.exe","572"
"WmiPrvSE","C:\Windows\system32\wbem\wmiprvse.exe","3456"
